name,url,year,rating,votes,plot
Armored Core 2,https://www.imdb.com/title/tt0380190/?ref_=adv_li_tt,2000,7.4,29,"Sixty-seven years after the events of the Subterranean Era in prior games, Earth's second largest corporation, Zio Matrix, acquires plans for a research project on Mars, dating back before ... See full summary »"
Armored Core 2: Another Age,https://www.imdb.com/title/tt0380191/?ref_=adv_li_tt,2001,7.0,21,"Five years after the coup attempt led by Leos Klein the Earth government struggles to realize one of its original objectives, relocating people from the underground cities to the Earth's ... See full summary »"
Armored Core 3,https://www.imdb.com/title/tt0380192/?ref_=adv_li_tt,2002,6.7,24,"Set in a post-apocalyptic future, Armored Core 3 depicts a world where mankind has begun to live underneath the Earth's surface after a catastrophic global nuclear war broke out on the ... See full summary »"
Armored Core 4,https://www.imdb.com/title/tt1014671/?ref_=adv_li_tt,2006,6.4,46,"The game is set in a dystopia on Earth, where corporations have conquered the world's governing bodies amidst increasing civil unrest and dwindling resources, and established a new world ... See full summary »"
Armored Core V,https://www.imdb.com/title/tt2074491/?ref_=adv_li_tt,2012,3.9,18,"The game is set in a futuristic post-apocalyptic war in which the Resistance is engaged in an all out war against the so-called ""FATHER"" and his Corporation. Gameplay and story are featured... See full summary »"
Armored Core: For Answer,https://www.imdb.com/title/tt1292010/?ref_=adv_li_tt,2008,8.4,35,"Ten years after the National Dismantlement War, the planet has become extremely polluted and is falling apart at the seams. ""The League"", a organization of corporations, have decided to ... See full summary »"
Armored Core: Last Raven,https://www.imdb.com/title/tt0829099/?ref_=adv_li_tt,2005,6.0,21,"In the wake of the now defunct Navis's failed attempt to control recovered ancient weapons technology, the world has been left in tatters. Looking to consolidate power, the Corporations (... See full summary »"
Armored Core: Master of Arena,https://www.imdb.com/title/tt0390851/?ref_=adv_li_tt,1999,5.8,17,"Behind the scenes in Isaac City, two corporations are embroiled in a vicious fight for control and supremacy over the general populace. During one of the most violent encounters between the... See full summary »"
Armored Core: Nexus,https://www.imdb.com/title/tt0437828/?ref_=adv_li_tt,2004,5.9,17,"Years have passed since the incident at the Silent Line, and with it the collaborative effort began by the Corporations in response to it is long gone. The battle between the Corporations ... See full summary »"
Armored Core: Nine Breaker,https://www.imdb.com/title/tt0810021/?ref_=adv_li_tt,2004,4.1,13,"During a rare lull in the usually incessant infighting between corporate giants, the world is experiencing its first taste of relative peace in many years. This is not to say that the ... See full summary »"
Armored Core: Project Phantasma,https://www.imdb.com/title/tt0390852/?ref_=adv_li_tt,1997,7.0,13,"A Raven operating out of Isaac City receives an unusual request. Not only is the request both vague and cryptic, stating simply: ""Infiltrate the underground urban complex, Amber Crown,"", ... See full summary »"
Armored Core: Verdict Day,https://www.imdb.com/title/tt2971354/?ref_=adv_li_tt,2013,6.3,7,"Verdict Day is set around 100 years after the events of Armored Core V. Following The Raven's victory over Exusia, the contamination that isolated humanity had begun to subside, allowing ... See full summary »"
Armorines: Project S.W.A.R.M.,https://www.imdb.com/title/tt0278316/?ref_=adv_li_tt,1999,6.4,35,"A group of marines fitted with advanced futuristic suits of armour protect Earth from an invasion of extraterrestrial, spider-like beings. The Marines protect the Earth by killing the spiders with their weapons."
Army Men World War: Final Front,https://www.imdb.com/title/tt0279658/?ref_=adv_li_tt,2001,6.7,19,Add a Plot
Army Men: Air Attack,https://www.imdb.com/title/tt0271371/?ref_=adv_li_tt,1999,6.3,42,"Focuses on aerial combat and features protagonist, Cpt. William Blade."
Army Men: Air Attack 2,https://www.imdb.com/title/tt0271372/?ref_=adv_li_tt,2000,7.0,34,Add a Plot
Army Men: Air Combat - The Elite Missions,https://www.imdb.com/title/tt0400178/?ref_=adv_li_tt,2003,5.2,7,Add a Plot
Army Men: Green Rogue,https://www.imdb.com/title/tt0278947/?ref_=adv_li_tt,2001,6.1,31,"The Green Army is creating a supersoldier, created by the spliced DNA of Sarge's Heroes. The supersoldier is code-named ""Omega Soldier."" A computer Mr. X created that idea. Colonel Grimm ... See full summary »"
Army Men: Major Malfunction,https://www.imdb.com/title/tt10988304/?ref_=adv_li_tt,2006,0.0,0,Add a Plot
Army Men: Sarge's Heroes,https://www.imdb.com/title/tt0261539/?ref_=adv_li_tt,1999,7.0,115,"In an alternate universe of plastic army men Plastro's evil Tan army invades our giant world, it's up to Sarge's Green army to stop them."
Army Men: Sarge's Heroes 2,https://www.imdb.com/title/tt0271373/?ref_=adv_li_tt,2000,6.8,55,Plastro is back and it's up to Sarge and his men to stop him again.
Army of Two,https://www.imdb.com/title/tt1217557/?ref_=adv_li_tt,2008,6.8,897,Tyson Rios and Elliot Salem are two ex Army Rangers turned contractors for a Private Military Corporation. They embark on missions ranging from the caves of Afghanistan all the way to abandoned villages of China.
Army of Two: The 40th Day,https://www.imdb.com/title/tt1607594/?ref_=adv_li_tt,2010,7.1,568,"Tyson Rios and Elliot Salem must fight to survive and prevail over invading forces that have engulfed Shanghai, China in a devastating terrorist attack."
Army of Two: The Devil's Cartel,https://www.imdb.com/title/tt2318310/?ref_=adv_li_tt,2013,6.9,473,"Two rookies, Alpha and Bravo take on the Mexican drug cartel. Now with co-op mode, and 50 story objectives with higher tension each mission."
Art of Fighting 3: The Path of the Warrior,https://www.imdb.com/title/tt5710476/?ref_=adv_li_tt,1996,6.7,69,The third Art of Fighting game in the series.
Assassin's Creed,https://www.imdb.com/title/tt0932936/?ref_=adv_li_tt,2007,8.0,"18,642","A man enters a machine called the Animus that lets him relive the memories of his ancestor, a 12th century assassin named Altair."
Assassin's Creed Chronicles: China,https://www.imdb.com/title/tt7953600/?ref_=adv_li_tt,2015,6.3,262,"The first Assassin's Creed Chronicles takes place in China, 1526, as the Ming dynasty starts to crumble. You embody Shao Jun, the last remaining Assassin of the Chinese Brotherhood, returning to her homeland with a vendetta."
Assassin's Creed II,https://www.imdb.com/title/tt1201133/?ref_=adv_li_tt,2009,9.1,"23,066","Desmond Miles is trained to become a modern-day Assassin through the resurrected memories of ancestor Ezio Auditore da Firenze, who uncovers a massive Templar conspiracy in Renaissance Italy leading to the new Pope."
Assassin's Creed II: Discovery,https://www.imdb.com/title/tt4380300/?ref_=adv_li_tt,2009,6.1,74,"The game's story takes place in 1490, 14 years after the beginning of its console counterpart, Assassin's Creed II. It follows that game's protagonist, Ezio Auditore da Firenze, as he ... See full summary »"
Assassin's Creed III,https://www.imdb.com/title/tt2175563/?ref_=adv_li_tt,2012,8.0,"16,911","The American Colonies, 1775. It's a time of civil unrest and political upheaval in the Americas. As a Native American fights to protect his land and his people, he will ignite the flames of a young nation's revolution."
Assassin's Creed III: Liberation,https://www.imdb.com/title/tt2312346/?ref_=adv_li_tt,2012,6.6,"1,274","In 18th century Louisiana, a female assassin named Aveline has to infiltrate the Templars' order and uncover and destroy their schemes."
